City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
522,Teluknaga,ID,80.64,few clouds,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
527,Salmas,IR,74.84,clear sky,38.1973,44.7653,Ata Hotel
528,Buchanan,LR,75.07,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
529,Kissidougou,GN,68.14,few clouds,9.1848,-10.0999,Hôtel Mantis
532,Lovington,US,88.32,overcast clouds,32.944,-103.3485,Comfort Inn & Suites Lovington
536,Seoul,KR,67.44,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
537,Nueva Concepcion,GT,80.91,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
538,Mahibadhoo,MV,80.55,clear sky,3.7833,72.9667,Omadhoo Inn
539,Kapoeta,SS,77.7,broken clouds,4.7717,33.5903,Eastgate Hotel
541,Jaciara,BR,87.06,few clouds,-15.9653,-54.9683,Taba Hotel
542,Kailua,US,85.14,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
544,Bhuban,IN,80.89,overcast clouds,20.8833,85.8333,Prasanta Sahoo
545,Dong Hoi,VN,78.87,overcast clouds,17.4833,106.6,Nam Long Hotel
549,Zhezkazgan,KZ,77.02,clear sky,47.8043,67.7144,Hotel Zumrat
552,Ratnagiri,IN,77.45,few clouds,16.9833,73.3,Hotel Landmark
553,Kokopo,PG,80.6,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
554,Upata,VE,74.93,overcast clouds,8.0086,-62.3989,Posada Villa Nela
555,Hilton Head Island,US,86.11,few clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
556,Cairns,AU,76.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
557,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
558,Aborlan,PH,77.07,overcast clouds,9.4352,118.5492,Kevina Transient House
560,Piacabucu,BR,73.63,clear sky,-10.4056,-36.4344,Piaçabuçu News
562,Gurjaani,GE,76.62,clear sky,41.7429,45.8011,The Role House
564,Puerto Escondido,MX,80.55,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
567,Wajid,SO,71.96,broken clouds,3.8093,43.2471,xamdihotelresturant114
568,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
571,Dafeng,CN,75.69,overcast clouds,23.4517,108.5881,Shenglong Hotel
572,Santa Rosa,PH,77.11,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
573,Iralaya,HN,83.03,overcast clouds,15.0,-83.2333,Iglesia morava renovada
575,Sinnamary,GF,80.15,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
576,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
577,Praya,CV,77.54,light rain,14.9215,-23.5087,LT Aparthotel
579,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
581,Tupa,BR,81.81,scattered clouds,-21.9347,-50.5136,Grande Hotel Tamoios
582,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
584,High Level,CA,71.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
587,Buala,SB,81.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
588,Weyburn,CA,71.82,clear sky,49.6668,-103.8511,Perfect Inns & Suites
589,Papara,BR,79.2,scattered clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
593,Ozu,JP,75.18,overcast clouds,33.5,132.55,HOTEL FOREST
597,Sabang,ID,79.59,broken clouds,5.8933,95.3214,Hotel Citra
602,Buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
607,Khandbari,NP,72.32,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
608,Juegang,CN,76.91,overcast clouds,32.3174,121.1855,Rudong Y Hotel
609,Sikonge,TZ,69.03,scattered clouds,-5.6333,32.7667,Sikonge Ndawvukilo Lodge
611,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
613,Diego De Almagro,CL,66.18,clear sky,-26.3667,-70.05,hotel luna del desierto
615,Groningen,NL,68.02,broken clouds,53.25,6.75,Bed&Breakfast Lageland
617,Longkou,CN,67.62,overcast clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
621,Haileybury,CA,82.98,broken clouds,47.449,-79.6373,Haileybury Beach Motel
622,Arang,IN,79.48,overcast clouds,21.2,81.9667,Hotel Kunwar Shree
623,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
624,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
628,Oda,JP,70.57,overcast clouds,35.1833,132.5,Sky Hotel Oda
629,Miles City,US,85.17,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
630,Siquijor,PH,78.71,overcast clouds,9.2142,123.515,Villa Marmarine Resort
631,Broome,US,80.8,clear sky,42.2506,-75.833,Chenango Valley State Park
632,Prachin Buri,TH,76.73,overcast clouds,14.0833,101.6667,Hillside Country Home Golf & Resort
633,Conceicao Do Araguaia,BR,83.01,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
635,Malpe,IN,76.3,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
636,Bay Roberts,CA,76.75,overcast clouds,47.5999,-53.2648,Stonewall Inn
638,Santiago,CL,74.64,clear sky,-33.4569,-70.6483,Hotel Panamericano
639,Dhidhdhoo,MV,80.04,scattered clouds,6.8833,73.1,Dhidhoo beach
640,Kushima,JP,75.83,light rain,31.4583,131.2333,Hanaoka
641,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Park Hotel Calama
642,Sao Joaquim Da Barra,BR,75.29,clear sky,-20.5814,-47.8547,Mauad Plaza Hotel
643,Mount Pleasant,US,85.05,clear sky,32.7941,-79.8626,Best Western Patriots Point
646,Seydi,TM,78.89,clear sky,39.4816,62.9137,Seydi oteli
647,Meulaboh,ID,74.05,light rain,4.1363,96.1285,Kost Pria
649,Iranshahr,IR,88.14,clear sky,27.2025,60.6848,نیک سرشت
650,Jacmel,HT,87.64,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
651,Natchitoches,US,78.78,broken clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
657,Bossier City,US,86.68,few clouds,32.516,-93.7321,Horseshoe Bossier City
659,Porbandar,IN,80.58,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
660,Leek,NL,67.96,broken clouds,53.1625,6.3764,Fletcher Hotel-Restaurant Langewold
661,Vila Velha,BR,73.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
662,Bandarbeyla,SO,75.61,broken clouds,9.4942,50.8122,JABIR HOTEL
663,Ugoofaaru,MV,79.34,scattered clouds,5.6667,73.0,Ungoofaaru Inn
668,Aranjuez,ES,76.53,broken clouds,40.0311,-3.6025,Occidental Aranjuez
673,Sabha,LY,87.98,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
674,Granadilla De Abona,ES,72.09,clear sky,28.1188,-16.576,Hotel Rural Senderos De Abona
675,Shache,CN,69.48,few clouds,38.4167,77.2406,Delong Hotel
679,Bhabua,IN,80.82,overcast clouds,25.05,83.6167,Kohinoor Hotel
680,Valleyview,CA,82.44,scattered clouds,55.0667,-117.2859,Paradise Inn & Suites
682,Houma,US,88.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
687,Oneonta,US,78.06,scattered clouds,42.4529,-75.0638,Hampton Inn Oneonta
689,Beyneu,KZ,85.42,clear sky,45.3167,55.2,NUR
691,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
693,Bartica,GY,77.32,heavy intensity rain,6.4,-58.6167,Sloth Island Nature Resort
694,Sayan,PE,72.95,clear sky,-11.1361,-77.1933,Hotel Restaurant Vanessa
695,Suez,EG,76.48,clear sky,29.9737,32.5263,Green House
699,Harper,LR,75.56,scattered clouds,4.375,-7.7169,Screensaver
701,Tres Lagoas,BR,86.41,scattered clouds,-20.7511,-51.6783,Druds Express Hotel
702,Teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
705,Dromolaxia,CY,79.72,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
709,Makat,KZ,77.0,scattered clouds,47.6469,53.3463,Umit
713,Sollies-Pont,FR,72.99,scattered clouds,43.1898,6.0432,Logis Hôtel Alba Flora
715,Margate,GB,68.31,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
717,Luau,AO,72.81,overcast clouds,-10.7073,22.2247,Kimbo Hotel
